Model,Threshold,Mean,Std,Mean ± Std
"ResNet, Bias=1.0",0.2,18.5364,0.3742,18.5364 ± 0.3742
"ResNet, Bias=1.0",0.3,15.8933,0.3583,15.8933 ± 0.3583
"ResNet, Bias=1.0",0.4,14.0698,0.3699,14.0698 ± 0.3699
"ResNet, Bias=1.0",0.5,12.5669,0.3720,12.5669 ± 0.3720
"ResNet, Bias=1.0",0.6,11.1458,0.3787,11.1458 ± 0.3787
"ResNet, Bias=10.0",0.2,18.5604,0.9203,18.5604 ± 0.9203
"ResNet, Bias=10.0",0.3,15.8356,0.7934,15.8356 ± 0.7934
"ResNet, Bias=10.0",0.4,13.9647,0.6917,13.9647 ± 0.6917
"ResNet, Bias=10.0",0.5,12.4408,0.5883,12.4408 ± 0.5883
"ResNet, Bias=10.0",0.6,11.0395,0.5240,11.0395 ± 0.5240
"SimpleCNN, Bias=1.0",0.2,21.3995,0.5364,21.3995 ± 0.5364
"SimpleCNN, Bias=1.0",0.3,18.8815,0.7166,18.8815 ± 0.7166
"SimpleCNN, Bias=1.0",0.4,16.9848,0.8455,16.9848 ± 0.8455
"SimpleCNN, Bias=1.0",0.5,15.3787,0.9133,15.3787 ± 0.9133
"SimpleCNN, Bias=1.0",0.6,13.8144,0.9460,13.8144 ± 0.9460
"SimpleCNN, Bias=10.0",0.2,20.3161,1.6721,20.3161 ± 1.6721
"SimpleCNN, Bias=10.0",0.3,17.8545,1.9657,17.8545 ± 1.9657
"SimpleCNN, Bias=10.0",0.4,16.1360,2.0915,16.1360 ± 2.0915
"SimpleCNN, Bias=10.0",0.5,14.5986,2.0995,14.5986 ± 2.0995
"SimpleCNN, Bias=10.0",0.6,13.0042,2.0309,13.0042 ± 2.0309
