Model,Threshold,Mean,Std,Mean ± Std
"ResNet, Bias=1.0",0.2,0.2290,0.0115,0.2290 ± 0.0115
"ResNet, Bias=1.0",0.3,0.1952,0.0132,0.1952 ± 0.0132
"ResNet, Bias=1.0",0.4,0.2103,0.0150,0.2103 ± 0.0150
"ResNet, Bias=1.0",0.5,0.2526,0.0165,0.2526 ± 0.0165
"ResNet, Bias=1.0",0.6,0.3220,0.0165,0.3220 ± 0.0165
"ResNet, Bias=10.0",0.2,0.2553,0.0382,0.2553 ± 0.0382
"ResNet, Bias=10.0",0.3,0.2169,0.0392,0.2169 ± 0.0392
"ResNet, Bias=10.0",0.4,0.2396,0.0441,0.2396 ± 0.0441
"ResNet, Bias=10.0",0.5,0.2926,0.0487,0.2926 ± 0.0487
"ResNet, Bias=10.0",0.6,0.3676,0.0484,0.3676 ± 0.0484
"SimpleCNN, Bias=1.0",0.2,0.1445,0.0110,0.1445 ± 0.0110
"SimpleCNN, Bias=1.0",0.3,0.1326,0.0124,0.1326 ± 0.0124
"SimpleCNN, Bias=1.0",0.4,0.1535,0.0139,0.1535 ± 0.0139
"SimpleCNN, Bias=1.0",0.5,0.1962,0.0169,0.1962 ± 0.0169
"SimpleCNN, Bias=1.0",0.6,0.2644,0.0194,0.2644 ± 0.0194
"SimpleCNN, Bias=10.0",0.2,0.2331,0.0344,0.2331 ± 0.0344
"SimpleCNN, Bias=10.0",0.3,0.2177,0.0344,0.2177 ± 0.0344
"SimpleCNN, Bias=10.0",0.4,0.2400,0.0370,0.2400 ± 0.0370
"SimpleCNN, Bias=10.0",0.5,0.2852,0.0435,0.2852 ± 0.0435
"SimpleCNN, Bias=10.0",0.6,0.3514,0.0515,0.3514 ± 0.0515
