Model,Threshold,Mean,Std,Mean ± Std
"ResNet, Bias=1.0",0.2,45.9448,1.0319,45.9448 ± 1.0319
"ResNet, Bias=1.0",0.3,39.3661,0.9867,39.3661 ± 0.9867
"ResNet, Bias=1.0",0.4,33.6030,0.9570,33.6030 ± 0.9570
"ResNet, Bias=1.0",0.5,28.1475,0.9090,28.1475 ± 0.9090
"ResNet, Bias=1.0",0.6,22.7121,0.8655,22.7121 ± 0.8655
"ResNet, Bias=10.0",0.2,44.7414,2.2205,44.7414 ± 2.2205
"ResNet, Bias=10.0",0.3,38.0834,1.9907,38.0834 ± 1.9907
"ResNet, Bias=10.0",0.4,32.2788,1.6968,32.2788 ± 1.6968
"ResNet, Bias=10.0",0.5,26.7892,1.4366,26.7892 ± 1.4366
"ResNet, Bias=10.0",0.6,21.6014,1.2100,21.6014 ± 1.2100
"SimpleCNN, Bias=1.0",0.2,54.8538,1.2195,54.8538 ± 1.2195
"SimpleCNN, Bias=1.0",0.3,48.4890,1.4713,48.4890 ± 1.4713
"SimpleCNN, Bias=1.0",0.4,42.0874,1.6467,42.0874 ± 1.6467
"SimpleCNN, Bias=1.0",0.5,35.6080,1.7440,35.6080 ± 1.7440
"SimpleCNN, Bias=1.0",0.6,28.8758,1.7693,28.8758 ± 1.7693
"SimpleCNN, Bias=10.0",0.2,50.1147,4.5108,50.1147 ± 4.5108
"SimpleCNN, Bias=10.0",0.3,43.1344,5.4990,43.1344 ± 5.4990
"SimpleCNN, Bias=10.0",0.4,36.9546,5.8790,36.9546 ± 5.8790
"SimpleCNN, Bias=10.0",0.5,31.0632,5.6584,31.0632 ± 5.6584
"SimpleCNN, Bias=10.0",0.6,25.1930,4.8807,25.1930 ± 4.8807
