Model,Threshold,Mean,Std,Mean ± Std
"ResNet, Bias=1.0",0.2,68.4204,3.9884,68.4204 ± 3.9884
"ResNet, Bias=1.0",0.3,44.4718,2.6766,44.4718 ± 2.6766
"ResNet, Bias=1.0",0.4,27.2480,1.6123,27.2480 ± 1.6123
"ResNet, Bias=1.0",0.5,16.3326,0.9197,16.3326 ± 0.9197
"ResNet, Bias=1.0",0.6,9.6383,0.4728,9.6383 ± 0.4728
"ResNet, Bias=10.0",0.2,48.0101,7.3215,48.0101 ± 7.3215
"ResNet, Bias=10.0",0.3,32.9342,5.3409,32.9342 ± 5.3409
"ResNet, Bias=10.0",0.4,21.3144,3.4287,21.3144 ± 3.4287
"ResNet, Bias=10.0",0.5,13.4792,2.0559,13.4792 ± 2.0559
"ResNet, Bias=10.0",0.6,8.4092,1.1281,8.4092 ± 1.1281
"SimpleCNN, Bias=1.0",0.2,97.8365,8.7329,97.8365 ± 8.7329
"SimpleCNN, Bias=1.0",0.3,60.6725,5.5973,60.6725 ± 5.5973
"SimpleCNN, Bias=1.0",0.4,35.0047,3.0281,35.0047 ± 3.0281
"SimpleCNN, Bias=1.0",0.5,19.7472,1.5697,19.7472 ± 1.5697
"SimpleCNN, Bias=1.0",0.6,11.0153,0.7651,11.0153 ± 0.7651
"SimpleCNN, Bias=10.0",0.2,49.1296,13.0414,49.1296 ± 13.0414
"SimpleCNN, Bias=10.0",0.3,32.5749,7.1596,32.5749 ± 7.1596
"SimpleCNN, Bias=10.0",0.4,21.0331,4.0337,21.0331 ± 4.0337
"SimpleCNN, Bias=10.0",0.5,13.3901,2.4534,13.3901 ± 2.4534
"SimpleCNN, Bias=10.0",0.6,8.4035,1.5093,8.4035 ± 1.5093
