Model,Threshold,Mean,Std,Mean ± Std
"ResNet, Bias=1.0",0.2,12.0658,0.5851,12.0658 ± 0.5851
"ResNet, Bias=1.0",0.3,5.6472,0.2912,5.6472 ± 0.2912
"ResNet, Bias=1.0",0.4,2.7974,0.1450,2.7974 ± 0.1450
"ResNet, Bias=1.0",0.5,1.4263,0.0721,1.4263 ± 0.0721
"ResNet, Bias=1.0",0.6,0.7348,0.0362,0.7348 ± 0.0362
"ResNet, Bias=10.0",0.2,12.1628,1.6556,12.1628 ± 1.6556
"ResNet, Bias=10.0",0.3,5.8730,0.8392,5.8730 ± 0.8392
"ResNet, Bias=10.0",0.4,2.9923,0.4279,2.9923 ± 0.4279
"ResNet, Bias=10.0",0.5,1.5626,0.2200,1.5626 ± 0.2200
"ResNet, Bias=10.0",0.6,0.8211,0.1122,0.8211 ± 0.1122
"SimpleCNN, Bias=1.0",0.2,13.1077,1.1055,13.1077 ± 1.1055
"SimpleCNN, Bias=1.0",0.3,5.8206,0.4891,5.8206 ± 0.4891
"SimpleCNN, Bias=1.0",0.4,2.7479,0.2216,2.7479 ± 0.2216
"SimpleCNN, Bias=1.0",0.5,1.3460,0.1014,1.3460 ± 0.1014
"SimpleCNN, Bias=1.0",0.6,0.6723,0.0459,0.6723 ± 0.0459
"SimpleCNN, Bias=10.0",0.2,10.7072,2.4914,10.7072 ± 2.4914
"SimpleCNN, Bias=10.0",0.3,5.0956,1.2562,5.0956 ± 1.2562
"SimpleCNN, Bias=10.0",0.4,2.5933,0.6503,2.5933 ± 0.6503
"SimpleCNN, Bias=10.0",0.5,1.3605,0.3389,1.3605 ± 0.3389
"SimpleCNN, Bias=10.0",0.6,0.7198,0.1713,0.7198 ± 0.1713
